181810 5  1818.762   ?  
181810 6  1818.765  24  
181810 7  1818.768  36  
181810 8  1818.771  68  
181810 9  1818.773  94  
18181010  1818.776  26  
18181011  1818.779   ?  
18181012  1818.782   ?  
18181013  1818.784  24  
18181014  1818.787  98  
18181015  1818.790   ?  
18181016  1818.793   ?  
18181017  1818.795  65  
18181018  1818.798  19  
18181019  1818.801  11  
18181020  1818.804  10  
18181021  1818.806  10  
18181022  1818.809  10  
18181023  1818.812   ?  
18181024  1818.814  33  
18181025  1818.817  27  
18181026  1818.820   ?  
18181027  1818.823  31  
18181028  1818.825  30  
18181029  1818.828  34  
18181030  1818.831   ?  
18181031  1818.834   ?  
181811 1  1818.836   ?  
181811 2  1818.839   ?  
181811 3  1818.842  25  
181811 4  1818.845   ?  
181811 5  1818.847  10  
181811 6  1818.850   ?  
181811 7  1818.853   ?  
181811 8  1818.856   ?  
181811 9  1818.858  24  
18181110  1818.861   ?  
18181111  1818.864   ?  
18181112  1818.867   ?  
18181113  1818.869   ?  
18181114  1818.872   0  
18181115  1818.875   0  
18181116  1818.877   0  
18181117  1818.880  10  
18181118  1818.883  13  
18181119  1818.886   ?  
18181120  1818.888  10  
18181121  1818.891  15  
18181122  1818.894  14  
18181123  1818.897   ?  
18181124  1818.899   ?  
18181125  1818.902  10  
18181126  1818.905   ?  
18181127  1818.908   ?  
18181128  1818.910   ?  
18181129  1818.913   ?  
18181130  1818.916   ?  
181812 1  1818.919   ?  
181812 2  1818.921   ?  
181812 3  1818.924  14  
181812 4  1818.927  15  
181812 5  1818.929  15  
181812 6  1818.932   0  
181812 7  1818.935   ?  
181812 8  1818.938   ?  
181812 9  1818.940   ?  
18181210  1818.943   ?  
18181211  1818.946  23  
18181212  1818.949  18  
18181213  1818.951   ?  
18181214  1818.954   ?  
18181215  1818.957   0  
18181216  1818.960   ?  
18181217  1818.962   0  
18181218  1818.965   ?  
18181219  1818.968  33  
18181220  1818.971   ?  
18181221  1818.973   ?  
18181222  1818.976   ?  
18181223  1818.979  50  
18181224  1818.982  63  
18181225  1818.984   ?  
18181226  1818.987   ?  
18181227  1818.990  64  
18181228  1818.992   ?  
18181229  1818.995   ?  
18181230  1818.998   ?  
18181231  1819.001  41  
1819 1 1  1819.003  41  
1819 1 2  1819.006   ?  
1819 1 3  1819.009  35  
1819 1 4  1819.012  24  
1819 1 5  1819.014  42  
1819 1 6  1819.017   ?  
1819 1 7  1819.020  33  
1819 1 8  1819.023   ?  
1819 1 9  1819.025   ?  
1819 110  1819.028   ?  
1819 111  1819.031   ?  
1819 112  1819.034  53  
1819 113  1819.036   ?  
1819 114  1819.039   ?  
1819 115  1819.042  35  
1819 116  1819.044  35  
1819 117  1819.047   ?  
1819 118  1819.050  16  
1819 119  1819.053   ?  
1819 120  1819.055   ?  
1819 121  1819.058   ?  
1819 122  1819.061   ?  
1819 123  1819.064  46  
1819 124  1819.066   ?  
1819 125  1819.069   ?  
1819 126  1819.072   ?  
1819 127  1819.075   ?  
1819 128  1819.077  12  
1819 129  1819.080  22  
1819 130  1819.083   ?  
1819 131  1819.086   ?  
